id,product_name,category,price,quantity_sold,region,date,customer_rating
1,Laptop Pro,Electronics,1299.99,45,North,2024-01-15,4.8
2,Office Chair,Furniture,249.99,120,South,2024-01-16,4.3
3,Desk Lamp,Lighting,34.99,200,East,2024-01-17,4.6
4,Monitor 27",Electronics,399.99,78,North,2024-01-18,4.5
5,Keyboard Mechanical,Electronics,129.99,150,West,2024-01-19,4.7
6,Mouse Wireless,Electronics,45.99,300,South,2024-01-20,4.4
7,Standing Desk,Furniture,599.99,35,East,2024-01-21,4.9
8,Desk Organizer,Accessories,29.99,400,North,2024-01-22,4.2
9,USB Hub,Electronics,49.99,250,West,2024-01-23,4.5
10,Monitor Light Bar,Lighting,99.99,80,South,2024-01-24,4.6
11,Notebook Set,Accessories,24.99,500,East,2024-01-25,4.1
12,Coffee Maker,Appliances,89.99,60,North,2024-01-26,4.4
13,Desk Pad,Accessories,19.99,600,West,2024-01-27,4.3
14,Webcam HD,Electronics,79.99,100,South,2024-01-28,4.5
15,Headphone Stand,Accessories,12.99,800,East,2024-01-29,4.0
16,Plant Pot,Decor,24.99,350,North,2024-01-30,4.2
17,Wall Clock,Decor,49.99,120,West,2024-02-01,4.4
18,Shelf Unit,Furniture,199.99,45,South,2024-02-02,4.6
19,Task Lamp,Lighting,64.99,150,East,2024-02-03,4.5
20,Phone Stand,Accessories,15.99,700,North,2024-02-04,4.3
21,Whiteboard,Office,89.99,100,West,2024-02-05,4.5
22,Webcam Cover,Accessories,8.99,2000,South,2024-02-06,4.1
23,Cable Organizer,Accessories,9.99,1500,East,2024-02-07,4.2
24,Fan Desk,Appliances,69.99,80,North,2024-02-08,4.4
25,Water Bottle,Accessories,24.99,400,West,2024-02-09,4.3
26,Ergonomic Pillow,Furniture,129.99,60,South,2024-02-10,4.6
27,Bluetooth Speaker,Electronics,99.99,140,East,2024-02-11,4.5
28,Desk Frame Art,Decor,34.99,180,North,2024-02-12,4.4
29,Screen Protector,Electronics,19.99,800,West,2024-02-13,4.2
30,Document Holder,Office,39.99,200,South,2024-02-14,4.5
